smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,rtb,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,pChEMBL Value
CC(C)C(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(C(=N)N)cc2)CC1,3.01,2.0,-2.68,1.65,9.33,709.96,7.0,12.0,6.0,7.0,50.0,1.0,709.96,709.3985,3.0,2.0,186.58,0.11,17.0,709.96,8.5,0.16,3.03,3.24,6.04
COC(=O)Nc1ccc2c(c1)NC(=O)[C@H](C)CCC[C@H](N1CCN(c3cccc(Cl)c3F)CC1=O)c1cc-2ccn1,5.87,3.0,4.98,4.98,12.73,580.06,6.0,9.0,2.0,2.0,41.0,0.0,580.06,579.2049,2.0,2.0,103.87,0.4,3.0,580.06,14.01,0.27,2.26,7.82,8.13
COC(=O)Nc1ccc2c(c1)N[C@@H](C(=O)OC)CCCC[C@H](N1CCC(c3cccc(Cl)c3)OC1=O)c1nc-2c(C#N)[nH]1,5.93,3.0,4.47,4.47,9.49,607.07,9.0,12.0,3.0,3.0,43.0,0.0,607.07,606.1994,3.0,2.0,158.67,0.24,4.0,607.07,12.97,0.25,1.94,4.96,7.88
COC(=O)Nc1ccc(-c2nc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)[nH]c2Cl)cc1,5.65,5.0,5.31,5.31,10.23,603.47,8.0,11.0,3.0,3.0,42.0,0.0,603.47,602.1348,3.0,2.0,139.71,0.19,9.0,603.47,14.2,0.28,2.92,6.13,8.57
COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)cnn2)cc1,5.06,5.0,4.68,4.68,12.88,581.04,9.0,11.0,2.0,2.0,42.0,0.0,581.04,580.1738,3.0,2.0,136.81,0.23,9.0,581.04,14.43,0.27,3.33,6.13,8.39
COC(=O)Nc1ccc(-c2cc([C@H](Cc3ccccc3)NC(=O)/C=C/c3cc(Cl)ccc3-n3cnnn3)c(=O)[nH]n2)cc1,4.36,5.0,4.12,4.12,10.06,597.04,9.0,12.0,3.0,3.0,43.0,0.0,597.04,596.1687,2.0,1.0,156.78,0.21,9.0,597.04,12.83,0.24,3.3,4.88,7.66
CNC(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)/C=C/c2cc(Cl)ccc2-n2cnnn2)cc1-c1ccc(NC(=O)OC)cc1,4.42,5.0,3.99,3.99,12.86,638.09,10.0,13.0,3.0,3.0,46.0,0.0,638.09,637.1953,2.0,1.0,165.91,0.19,10.0,638.09,11.77,0.22,3.09,4.53,7.51
CCC(=O)Nc1cc(-c2ccc(C(N)=O)cc2C(=O)O)cc([C@@H]2C[C@](C)(c3ccccc3)c3cc(C(=N)N)ccc3N2)c1,5.65,4.0,2.8,2.8,3.49,575.67,5.0,9.0,6.0,8.0,43.0,0.5,575.67,575.2533,3.0,3.0,171.39,0.12,8.0,575.67,15.91,0.29,3.51,5.35,9.16
C[C@]1(c2ccccc2)C[C@@H](c2cccc(-c3ccc(C#N)cc3C(=O)O)c2)Nc2ccc(C(=N)N)cc21,6.07,4.0,3.87,3.87,3.49,486.58,4.0,6.0,4.0,5.0,37.0,0.5,486.58,486.2056,1.0,1.0,122.99,0.2,5.0,486.58,15.04,0.27,1.25,5.95,7.32
C[C@]1(c2ccccc2)C[C@@H](c2cccc(-c3ccc(NS(C)(=O)=O)cc3C(=O)O)c2)Nc2ccc(C(=N)N)cc21,5.57,4.0,2.39,2.39,3.56,554.67,5.0,8.0,5.0,6.0,40.0,0.5,554.67,554.1988,3.0,2.0,145.37,0.15,7.0,554.67,13.4,0.25,1.86,5.11,7.43
C[C@]1(c2ccccc2)C[C@@H](c2cccc(-c3ccc(C(=O)O)cc3C(=O)O)c2)Nc2ccc(C(=N)N)cc21,5.9,4.0,0.65,3.43,3.33,505.57,4.0,7.0,5.0,6.0,38.0,0.5,505.57,505.2002,3.0,2.0,136.5,0.16,6.0,505.57,14.27,0.26,1.31,5.29,7.21
N=C(N)c1ccc2c(c1)[C@@H](c1ccccc1)C[C@@H](c1ccccc1-c1ccccc1C(=O)O)N2,6.02,4.0,3.72,3.72,3.67,447.54,3.0,5.0,4.0,5.0,34.0,0.5,447.54,447.1947,1.0,1.0,99.2,0.22,5.0,447.54,15.55,0.28,0.94,7.01,6.96
